author,idn,place,recipient,title,year,location,point,lat,lon
"Heilbut, Iwan",99667540X,"New York, NY","Kranz, Heinrich B.",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996675930,"New York, NY","Krawielicki, Robert",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99672303X,"New York, NY","Krolow, Karl",Korrespondenz,1948-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996723250,"New York, NY","Kronacher, Alwin",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996725741,"New York, NY","Kruse, Heinz",Korrespondenz,1949-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996726470,"New York, NY","Kruse, Johann",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996746862,"New York, NY","Langgässer, Elisabeth",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996765751,"New York, NY","Lebegott, E.",Korrespondenz,1945-1945,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996777237,"New York, NY","Le Fort, Gertrud von",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996777636,"New York, NY","Lehmann, Wilhelm",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996784926,"New York, NY","Leiner, Ludwig",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996785353,"New York, NY","Leip, Hans",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996809236,"New York, NY","Lernet-Holenia, Alexander",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",1000273601,"New York, NY","Lesser, H. R.",Korrespondenz,1945-1946,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996814817,"New York, NY","Lewisohn, Ludwig",Korrespondenz,1945-1945,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996815511,"New York, NY","Liedke, Herbert R.",Korrespondenz,1948-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996816348,"New York, NY","Lienek, Heinz",Korrespondenz,1948-1969,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996817042,"New York, NY","Rosin, Katherine",Korrespondenz,1944-1944,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996924752,"New York, NY","Lindenlaub, Erich",Korrespondenz,1949-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996926178,"New York, NY","Lindt, Peter M.",Korrespondenz,1943-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996927824,"New York, NY","Lips, Julius",Korrespondenz,1948-1951,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996937730,"New York, NY","Meier, Henry",Korrespondenz,1947-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996938427,"New York, NY","Lohmeyer, Wolfgang",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996939458,"New York, NY","Ludwig, Emil",Korrespondenz,1942-1942,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996951784,"New York, NY","Luschnat, David",Korrespondenz,1946-1967,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996964533,"New York, NY",,Korrespondenz,1946-1946,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996987835,"New York, NY","Maass, Joachim",Korrespondenz,1945-1946,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996989250,"New York, NY","Mähl, Albert",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996990305,"New York, NY","Mahler-Werfel, Alma Maria",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996994904,"New York, NY","Maisch, Herbert",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996995684,"New York, NY","Mann, Monika",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996996060,"New York, NY","Marck, Louis",Korrespondenz,1949-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",1000142701,"New York, NY","Maringer, Karen",Korrespondenz,1945-1947,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996996184,"New York, NY","Marmann, ...",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",997059001,"New York, NY","Martin, George",Korrespondenz,1946-1946,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",997070641,"New York, NY","Martin, Hilda Maria",Korrespondenz,1947-1971,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",997071362,"New York, NY","Mautz, Kurt",Korrespondenz,1948-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heide, Heinrich",998819786,"New York, NY","Heilbut, Iwan",Korrespondenz,1945-1952,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Braun-Fernwald, Jella von",999238523,"New York, NY","Heilbut, Iwan",Korrespondenz,1943-1943,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Szyk, Arthur",999320831,"New York, NY","Heilbut, Iwan",Korrespondenz,1944-1944,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Telger, Amy",999340387,"New York, NY","Heilbut, Iwan",Korrespondenz,1972-1972,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Gassner, John",999348841,"New York, NY","Heilbut, Iwan",Korrespondenz,1942-1942,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Torberg, Friedrich",99935230X,"New York, NY","Heilbut, Iwan",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Russell, Frank C.",999469657,"New York, NY","Heilbut, Iwan",Korrespondenz,1943-1943,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Unruh, Fritz von",999476289,"New York, NY","Heilbut, Iwan",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Van Doren, Mark",999479377,"New York, NY","Heilbut, Iwan",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Viertel, Berthold",999509608,"New York, NY","Heilbut, Iwan",Korrespondenz,1941-1941,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Huebsch, B. W.",999510045,"New York, NY","Heilbut, Iwan",Korrespondenz,1944-1946,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Bailly, Kay",999525158,"New York, NY","Heilbut, Iwan",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Lunt, Storer B.",999644351,"New York, NY","Heilbut, Iwan",Korrespondenz,1946-1947,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Watkins, Ann",999666045,"New York, NY","Heilbut, Iwan",Korrespondenz,1942-1942,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Forell, Frederick J.",994868561,"New York, NY","Heilbut, Iwan",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Pobers, Michel",994887833,"New York, NY","Heilbut, Iwan",Korrespondenz,1947-1947,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Fuernberg, Hermann",994919301,"New York, NY","Heilbut, Iwan",Korrespondenz,1943-1943,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Rawson, Kennett L.",995036411,"New York, NY","Heilbut, Iwan",Korrespondenz,1947-1947,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Gode, Alexander",995856699,"New York, NY","Heilbut, Iwan",Korrespondenz,1949-1950,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Grant, Rita J.",1000375390,"New York, NY","Heilbut, Iwan",Korrespondenz,1942-1942,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Guajardo, V. L.",995890455,"New York, NY","Heilbut, Iwan",Korrespondenz,1959-1960,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Habe, Hans",995901503,"New York, NY","Heilbut, Iwan",Korrespondenz,1946-1946,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Hadas, Ethel",995902224,"New York, NY","Heilbut, Iwan",Korrespondenz,,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Hagen, Louis",995920257,"New York, NY","Heilbut, Iwan",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Asofsky, Isaac L.",99600775X,"New York, NY","Heilbut, Iwan",Korrespondenz,1943-1945,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Charlotte",996015507,"New York, NY","Heilbut, Iwan",Korrespondenz,1950-1955,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Charlotte",996015698,"New York, NY","Heilbut, Iwan",Korrespondenz,1956-1960,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Charlotte",996015965,"New York, NY","Heilbut, Iwan",Korrespondenz,1961-1962,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Charlotte",996016570,"New York, NY","Heilbut, Iwan",Korrespondenz,1963-1964,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Charlotte",996016694,"New York, NY","Heilbut, Iwan",Korrespondenz,1965-1966,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Charlotte",99601702X,"New York, NY","Heilbut, Iwan",Korrespondenz,1967-1971,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Charlotte",1000821234,"New York, NY","Heilbut, Iwan",Korrespondenz,,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Francis",996045872,"New York, NY","Heilbut, Iwan",Korrespondenz,1961-1966,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Francis",996046143,"New York, NY","Heilbut, Iwan",Korrespondenz,1967-1972,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Jacob",996074422,"New York, NY","Heilbut, Iwan",Korrespondenz,1950-1952,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Monika",996077081,"New York, NY","Heilbut, Iwan",Korrespondenz,1970-1971,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Herzfeld, Edith",996223711,"New York, NY","Heilbut, Iwan",Korrespondenz,1941-1941,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Schlüter, Marguerite Valerie",996817344,Wiesbaden,"Heilbut, Iwan",Korrespondenz,1970-1970,"Wiesbaden, Regierungsbezirk Darmstadt, Hessen, Deutschland","(50.07259955, 8.25405388400511, 0.0)",50.07259955,8.25405388400511
"Oppert, Kurt",997738308,Wiesbaden,"Heilbut, Iwan",Korrespondenz,1953-1953,"Wiesbaden, Regierungsbezirk Darmstadt, Hessen, Deutschland","(50.07259955, 8.25405388400511, 0.0)",50.07259955,8.25405388400511
"Flach, Horst",993482015,Wiesbaden,"Heilbut, Iwan",Korrespondenz,1953-1953,"Wiesbaden, Regierungsbezirk Darmstadt, Hessen, Deutschland","(50.07259955, 8.25405388400511, 0.0)",50.07259955,8.25405388400511
"Michael, Friedrich",996428151,Wiesbaden,"Heilbut, Iwan",Korrespondenz,1948-1948,"Wiesbaden, Regierungsbezirk Darmstadt, Hessen, Deutschland","(50.07259955, 8.25405388400511, 0.0)",50.07259955,8.25405388400511
"Grüntzig, Walter",995872481,Wiesbaden,"Heilbut, Iwan",Korrespondenz,1953-1953,"Wiesbaden, Regierungsbezirk Darmstadt, Hessen, Deutschland","(50.07259955, 8.25405388400511, 0.0)",50.07259955,8.25405388400511
"Lindemann, Hans",996915532,Berlin-Marienfelde,"Heilbut, Iwan",Korrespondenz,1958-1958,"S Marienfelde, Bahnstraße, Marienfelde, Tempelhof-Schöneberg, Berlin, 12277, Deutschland","(52.4242122, 13.3746844, 0.0)",52.4242122,13.3746844
"Lindenlaub, Erich",996924116,"Grötzingen, Kreis Nürtingen",,Korrespondenz,1949-1950,,,,
"Lipton, Liane",996929002,Pörtschach,"Heilbut, Iwan",Korrespondenz,1966-1971,"Pörtschach, Hermagor, Kärnten, 9623, Österreich","(46.6243388, 13.531352, 0.0)",46.6243388,13.531352
"Lipton, Liane",996929371,Heidelberg,"Heilbut, Iwan",Korrespondenz,1951-1951,"Heidelberg, Regierungsbezirk Karlsruhe, Baden-Württemberg, 69120, Deutschland","(49.4093582, 8.694724, 0.0)",49.4093582,8.694724
"Skulima, Ewalt",997739444,Heidelberg,"Heilbut, Iwan",Korrespondenz,1952-1952,"Heidelberg, Regierungsbezirk Karlsruhe, Baden-Württemberg, 69120, Deutschland","(49.4093582, 8.694724, 0.0)",49.4093582,8.694724
"Walther, Karl-Heinz",1000086283,Heidelberg,"Heilbut, Iwan",Korrespondenz,1953-1953,"Heidelberg, Regierungsbezirk Karlsruhe, Baden-Württemberg, 69120, Deutschland","(49.4093582, 8.694724, 0.0)",49.4093582,8.694724
"Szypula, Rudolf",993401325,Heidelberg,"Heilbut, Iwan",Korrespondenz,1953-1960,"Heidelberg, Regierungsbezirk Karlsruhe, Baden-Württemberg, 69120, Deutschland","(49.4093582, 8.694724, 0.0)",49.4093582,8.694724
"Böckmann, Paul",993774660,Heidelberg,"Heilbut, Iwan",Korrespondenz,1948-1948,"Heidelberg, Regierungsbezirk Karlsruhe, Baden-Württemberg, 69120, Deutschland","(49.4093582, 8.694724, 0.0)",49.4093582,8.694724
"Hirschberg, Dorothea",996263187,Heidelberg,"Heilbut, Iwan",Korrespondenz,1951-1951,"Heidelberg, Regierungsbezirk Karlsruhe, Baden-Württemberg, 69120, Deutschland","(49.4093582, 8.694724, 0.0)",49.4093582,8.694724
"Skulima, Loni",994253583,Heidelberg,"Heilbut, Iwan",Korrespondenz,1952-1953,"Heidelberg, Regierungsbezirk Karlsruhe, Baden-Württemberg, 69120, Deutschland","(49.4093582, 8.694724, 0.0)",49.4093582,8.694724
"Ulmer, Elisabeth",999437747,Heidelberg,"Heilbut, Iwan",Korrespondenz,1951-1951,"Heidelberg, Regierungsbezirk Karlsruhe, Baden-Württemberg, 69120, Deutschland","(49.4093582, 8.694724, 0.0)",49.4093582,8.694724
"Sternberger, Dolf",999664255,Heidelberg,"Heilbut, Iwan",Korrespondenz,1948-1948,"Heidelberg, Regierungsbezirk Karlsruhe, Baden-Württemberg, 69120, Deutschland","(49.4093582, 8.694724, 0.0)",49.4093582,8.694724
"Lörik-Kummer, Elisabet",996937862,München,"Heilbut, Iwan",Korrespondenz,1951-1951,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Lühr, Peter",996939555,München,"Heilbut, Iwan",Korrespondenz,1962-1965,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Luxenberg, S.",996965440,München,"Heilbut, Iwan",Korrespondenz,1967-1967,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Molzahn, Loretto",997099887,München,"Heilbut, Iwan",Korrespondenz,1960-1960,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Hohenemser, Herbert",997115556,München,"Heilbut, Iwan",Korrespondenz,1959-1968,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Bergold, Werner",997120290,München,"Heilbut, Iwan",Korrespondenz,1953-1959,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Zellner, Werner",997120681,München,"Heilbut, Iwan",Korrespondenz,1962-1965,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Hohenemser, Herbert",997122757,München,"Heilbut, Iwan",Korrespondenz,1952-1952,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Lamm, Hans",997123486,München,"Heilbut, Iwan",Korrespondenz,1963-1963,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Wallenberg, Hans",997261994,München,"Heilbut, Iwan",Korrespondenz,1950-1952,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Nick, Dagmar",997711493,München,"Heilbut, Iwan",Korrespondenz,1948-1950,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Nießen, Peter",997711574,München,"Heilbut, Iwan",Korrespondenz,1968-1968,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Noeggerath, Marga",99771168X,München,"Heilbut, Iwan",Korrespondenz,1960-1960,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Hirschberg, R.",997958375,München,"Heilbut, Iwan",Korrespondenz,1951-1961,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",993729622,München,"Berendsohn, Walter A.",Korrespondenz,1969-1969,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",993752403,München,"Gerber, Hela",Korrespondenz,1961-1961,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",993794564,München,"Blisse, Gerda",Korrespondenz,1958-1958,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",993801544,München,"Bruckner, Hermann",Korrespondenz,1963-1963,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994253192,München,"Engesser, Klaus",Korrespondenz,1965-1965,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994253796,München,"Skulima, Loni",Korrespondenz,1952-1953,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994335024,München,"Bundschuh, ...",Korrespondenz,1966-1966,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994362900,München,"Christlieb, ...",Korrespondenz,1953-1953,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994365896,München,"Bissinger, F.",Korrespondenz,1951-1951,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994371691,München,"Colbert, Helga",Korrespondenz,1970-1971,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994439113,München,"Cotton, Maurice",Korrespondenz,1957-1957,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994451172,München,"Deutsch, Ernst",Korrespondenz,1952-1960,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994466552,München,"Böse, Georg",Korrespondenz,1950-1964,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994485093,München,"Barjansky, Michael",Korrespondenz,1950-1953,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994487789,München,"Müller-Horn, ...",Korrespondenz,1960-1960,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994488602,München,"Hasselblatt, Dieter",Korrespondenz,1966-1966,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994489439,München,"Dèvignes, Yvonne",Korrespondenz,1963-1963,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",99463336X,München,"Diem-Tilp, Ida",Korrespondenz,1953-1954,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994649290,München,"Daskaljuk, Paula",Korrespondenz,1953-1953,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994684681,München,"Drewitz, Ingeborg",Korrespondenz,1969-1970,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994684800,München,"Bolle, Fritz",Korrespondenz,1968-1970,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994739222,München,"Elbau, Julius",Korrespondenz,1963-1963,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994771452,München,"Meurer, Kurt",Korrespondenz,1962-1962,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994794142,München,"Engelmeier, ...",Korrespondenz,1966-1966,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",994794312,München,"Zoeller-Dudman, Juscha",Korrespondenz,1965-1965,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998395765,München,"Scheiner, Hedwig",Korrespondenz,1966-1969,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998508160,München,"Schlabrendorff, Fabian von",Korrespondenz,1968-1968,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998516163,München,"Schneidt, Christl",Korrespondenz,1965-1965,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998518271,München,"Schnetz, Wolf Peter",Korrespondenz,1964-1965,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998519758,München,"Schönburg-Hartenstein, Agathe von",Korrespondenz,,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998570451,München,"Schultes, Christl",Korrespondenz,1964-1965,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998570796,München,"Schulze, Verena",Korrespondenz,1962-1962,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998591270,München,"Landau, Edwin Maria",Korrespondenz,1964-1964,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998593575,München,"Schwarz, Georg",Korrespondenz,1953-1966,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998716421,München,"Seeberger, Kurt",Korrespondenz,1963-1966,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998725943,München,"Schwarz, Hilde",Korrespondenz,1961-1961,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998746401,München,"Seiderer, Hermann",Korrespondenz,1968-1968,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998776467,München,"Setzer, Johanna",Korrespondenz,1952-1965,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998778435,München,"Siadimas, Miltiades",Korrespondenz,1964-1964,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",998784680,München,"Simundt, Anna Maria",Korrespondenz,1952-1954,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
"Heilbut, Iwan",99922431X,München,"Deharde, Gustav",Korrespondenz,1952-1952,"München, Oberbayern, Bayern, Deutschland","(48.1371079, 11.5753822, 0.0)",48.1371079,11.5753822
